,id,reference_id,name,thumbnail,thumbnail_tops,bag
0,32,28,Chào Năm Học Mới,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/bts-icontuutruong.png,,
1,47,44,Unilever Deal Siêu Đỉnh,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/ulv-icon.jpg,,
2,26,23,Phiên Chợ Siêu Sale,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/iconchophien.png,,
3,27,24,Bánh Ngọt & Bánh Mì,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/banhmy.png,,
4,33,41,Đồ Ăn Sẵn,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/dochebiensan.png,,
5,7,4,Rau Củ - Đậu Hũ,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/raucu.png,,
6,28,25,Trái Cây,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/trai-cay.jpg,,
7,4,29,Trái Cây Nhập Khẩu,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/trai-cay-1.jpg,,
8,59,1,Hoa Tươi,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/png-hoa.png,,
9,34,38,Thịt - Hải Sản Tươi,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/thitcatuoi.png,,
10,10,7,Thịt - Hải Sản Đông Lạnh,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/dodonglanh.png,,
11,36,36,TP Đông Lạnh Khác,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/tpdonglanhkhac-1.png,,
12,12,9,Đồ Hộp,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/dohop.png,,
13,5,2,"Mì Gói, TP Ăn Liền",https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/mygoi-1.jpg,,
14,17,14,Thực Phẩm Khô,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/thucphamkho.png,,
15,14,11,Nguyên Liệu - Gia vị,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/giavinguyenlieu.jpg,,
16,13,10,"Xúc Xích, Giò Chả",https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/xucxich.png,,
17,39,37,Bánh Bao,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/banhbao.jpg,,
18,11,8,Trứng,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/trung.png,,
19,15,12,Sữa tươi,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/sua.jpg,,
20,40,31,Sữa Đặc & Sữa Bột,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/suabot-suadac-1.png,,
21,41,34,TP Chế Biến Từ Sữa,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/sanphamtusua.jpg,,
22,46,43,Tã & Sữa cho bé,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/s-a-t-212.png,,
23,23,20,Chăm Sóc Cho Bé,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/chamsochobe.png,,
24,18,15,Bánh Kẹo,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/banh-keo-1.jpg,,
25,42,32,"Snack, Đậu & Trái Cây Sấy ",https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/snack.jpg,,
26,19,16,Trà & Cà phê,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/travacaphe.jpg,,
27,20,17,Nước Giải Khát,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/nuocgiaikhat.jpg,,
28,35,39,Bia & Rượu,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/d-ng-gia-d-ng-2.png,,
29,16,13,Thức Uống Dinh Dưỡng,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/thucuongdinhduong.jpg,,
0,21,18,Chăm Sóc Cá nhân,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/chamsoccanhan.jpg,,
1,22,19,Mỹ Phẩm,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/mypham.png,,
2,24,21,Hóa Phẩm & Tẩy Rửa,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/sptayrua.jpg,,
3,44,42,"Khăn, Giấy Vệ Sinh",https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/khangiay.png,,
4,49,50,Chăm Sóc Thú Cưng,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/png-meomeo.png,,
5,38,33,Đồ Điện Gia Dụng,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/i-n-gia-d-ng.png,,
6,25,22,Đồ Dùng Gia Đình,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/d-ng-gia-d-ng.png,,
7,9,6,Đồ Dùng Nhà Bếp,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/dodunggiadinh.png,,
8,51,45,Thời Trang Nữ,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/trang-ph-cn.png,,
9,52,46,Thời Trang Nam,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/trang-ph-c-nam-n.png,,
10,53,47,Nội Y,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/trang-ph-c-lot.png,,
11,54,48,Giày Dép & Phụ Kiện,https://cdn.go-vietnam.vn/thumb/240x240/category-products/files/order-product/categories/trang-ph-c-nphu-kien-nu.png,,
